cd,estimate,sd,q025,q975,pop
MA-03,0.28945395,0.021091947,0.25000054,0.3342512,792172.0
MA-04,0.29388246,0.020846082,0.254268,0.339034,802351.0
MA-05,0.3001756,0.02120855,0.2600233,0.34535778,790991.0
MA-06,0.2967377,0.020866752,0.2575257,0.34167114,796608.0
MA-07,0.29158747,0.021296466,0.2510269,0.33612484,792910.0
MA-08,0.2980447,0.020934206,0.2585026,0.34310442,785102.0
MA-09,0.29831055,0.020898959,0.25865752,0.34242135,797322.0
MD-01,0.2777796,0.017516548,0.2420221,0.31315413,791828.0
MD-02,0.28938776,0.0182468,0.25182697,0.32660717,783072.0
MD-03,0.2858114,0.018079586,0.24834561,0.3223393,782813.0
MD-04,0.2939921,0.02098463,0.25201535,0.33538315,763408.0
MD-05,0.2893374,0.019096317,0.2505407,0.32824847,805327.0
MD-06,0.2766143,0.017749555,0.23986408,0.31236613,821653.0
MD-07,0.29059204,0.020101538,0.24960633,0.3308199,741555.0
MD-08,0.29809892,0.018847318,0.25948757,0.3358517,773402.0
ME-01,0.28551403,0.022612873,0.23746756,0.3295875,707680.0
ME-02,0.2782969,0.02258767,0.23087247,0.32278767,697214.0
MI-01,0.2522784,0.017852552,0.21843009,0.28888708,787656.0
MI-02,0.2438847,0.017793676,0.21032085,0.2805715,789195.0
MI-03,0.24710791,0.017939925,0.21283774,0.28403714,791156.0
MI-04,0.24697042,0.017889772,0.21300147,0.28380153,785326.0
MI-05,0.24537331,0.017849011,0.21169439,0.28227064,775211.0
MI-06,0.2610166,0.01856747,0.2255254,0.2990926,768984.0
MI-07,0.24837166,0.01774066,0.21452789,0.2848137,792603.0
MI-08,0.2500344,0.018023236,0.2155019,0.28731197,769274.0
MI-09,0.2436858,0.017735332,0.2104854,0.28008315,782419.0
MI-10,0.2522037,0.018160505,0.21768312,0.28992483,775276.0
MI-11,0.26099995,0.01845488,0.22566696,0.29871547,787152.0
MI-12,0.2638923,0.02040936,0.22490041,0.3058036,751670.0
MI-13,0.25933284,0.020402078,0.22043487,0.3009845,784586.0
MN-01,0.24799295,0.019097527,0.21234511,0.28879994,718068.0
MN-02,0.24851027,0.019357568,0.21191354,0.2893372,745975.0
MN-03,0.25783208,0.019767916,0.22045709,0.29964608,710629.0
MN-04,0.25636083,0.019950425,0.21869355,0.29839578,708457.0
MN-05,0.24992314,0.019487396,0.21298744,0.29057488,707252.0
MN-06,0.24188058,0.019053986,0.20578505,0.2826441,755040.0
MN-07,0.24684401,0.019168235,0.2110866,0.2880981,722404.0
MN-08,0.24783997,0.019064276,0.21231951,0.28890702,727354.0
MO-01,0.2607594,0.020359855,0.22065288,0.300627,743100.0
MO-02,0.25044453,0.018364735,0.21368782,0.28579637,773870.0
MO-03,0.24038525,0.017846221,0.20441955,0.27463654,799866.0
MO-04,0.23766777,0.01798637,0.20190984,0.2723198,784159.0
MO-05,0.2459952,0.01851863,0.20956299,0.2819514,776461.0
MO-06,0.23800975,0.018040696,0.2021664,0.27251327,788849.0
MO-07,0.2372124,0.017866934,0.20182544,0.2712174,802980.0
MO-08,0.23773721,0.018083107,0.20164627,0.27245963,781267.0
MS-01,0.2717554,0.019852156,0.22935236,0.31061003,753742.0
MS-02,0.29333186,0.023256717,0.24505915,0.33939204,694687.0
MS-03,0.27697414,0.020141814,0.23331739,0.31634262,734712.0
MS-04,0.2683513,0.019553032,0.22635445,0.3061464,759792.0
MT-01,0.29251757,0.023493962,0.24262351,0.3377889,579148.0
MT-02,0.28804904,0.023694651,0.23818268,0.3338296,558573.0
NC-01,0.30043563,0.021730598,0.26427883,0.35098204,753452.0
NC-02,0.2920919,0.020615267,0.25814718,0.34061003,790783.0
NC-03,0.28680283,0.020394541,0.25353768,0.33533788,775222.0
NC-04,0.2982349,0.021004044,0.26357284,0.34703663,804331.0
NC-05,0.288636,0.020409802,0.25535443,0.3371767,755187.0
NC-06,0.28716037,0.020477345,0.2537834,0.33556917,794209.0
NC-07,0.2923396,0.020441981,0.25906622,0.34108967,805789.0
NC-08,0.28721967,0.020516552,0.2536077,0.33547693,788849.0
NC-09,0.28603643,0.020546226,0.25202984,0.3347127,790291.0
NC-10,0.28699437,0.020332292,0.2535886,0.3351998,787542.0
NC-11,0.28851995,0.020389458,0.25549448,0.33647743,770847.0
NC-12,0.29100847,0.02145028,0.25458038,0.34042624,801631.0
NC-13,0.2833455,0.020434404,0.24968521,0.3315924,835043.0
NC-14,0.28503788,0.02029082,0.25212145,0.3326856,792824.0
ND-00,0.24232762,0.020670004,0.20323959,0.28696904,796604.0
NE-01,0.24431163,0.021019911,0.2060577,0.28997803,672885.0
NE-02,0.2473468,0.02143706,0.20813103,0.2936896,682583.0
NE-03,0.24711274,0.021207182,0.20872296,0.2933117,650261.0
NH-01,0.28257757,0.022745797,0.23652017,0.32862628,709268.0
NH-02,0.284104,0.022795066,0.23819155,0.32998988,700156.0
NJ-01,0.28872073,0.021495577,0.24534371,0.33132946,784107.0
NJ-02,0.2890113,0.021475634,0.24576381,0.33125967,794132.0
NJ-03,0.29385787,0.021514535,0.25018096,0.33577895,795592.0
NJ-04,0.28885496,0.02165389,0.2451309,0.33159092,795130.0
NJ-05,0.30172282,0.022126947,0.25684354,0.34462866,794124.0
NJ-06,0.2937923,0.02221417,0.24935846,0.33738583,786852.0
NJ-07,0.29328397,0.02144804,0.24938497,0.33510992,789395.0
NJ-08,0.28131473,0.02277391,0.23643379,0.32694498,780400.0
NJ-09,0.28451037,0.02236781,0.23955366,0.32892787,772304.0
NJ-10,0.29979292,0.024028579,0.25211853,0.34762275,800235.0
NJ-11,0.29676783,0.021698423,0.2524325,0.33896992,800047.0
NJ-12,0.30203962,0.022985553,0.25591117,0.34717566,808411.0
NM-01,0.30340418,0.023052108,0.25573376,0.3496184,714162.0
NM-02,0.2931434,0.024047589,0.24387449,0.3417936,711443.0
NM-03,0.2941461,0.023443896,0.24626853,0.34123355,739622.0
NV-01,0.29172897,0.023540383,0.2444366,0.33690122,793572.0
